Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2011-04-13,2902.9,2926.79,2893.32,2923.8,20386934
2011-04-14,2911.88,2921,2892.45,2906.85,15967072
2011-04-15,2912.8,2921.72,2904.62,2917.21,10989684
2011-04-18,2918.45,2920.37,2863.59,2872.7,18709186
2011-04-19,2874.33,2888.09,2868.57,2888.09,11218993
2011-04-20,2907.65,2938.04,2907.65,2925.83,18812122
2011-04-21,2927.89,2936.2,2905.36,2908.02,15666241
2011-04-26,2905.06,2927.04,2896.82,2927.04,19513201
2011-04-27,2930.59,2932.78,2905.59,2917.34,17190093
2011-04-28,2925.18,2933.43,2908.43,2932.62,16546928
2011-04-29,2923.85,2927.15,2908.62,2913.13,12127922
2011-05-02,2919.05,2919.81,2894.72,2919.81,8748265
2011-05-04,2897.04,2897.04,2869.3,2878.44,35568517
2011-05-05,2874.36,2883.47,2848.31,2858.91,24696113
2011-05-06,2856.4,2876.33,2845.32,2867.19,25281540
2011-05-09,2874.5,2877.64,2835.49,2835.49,22435066
2011-05-10,2845.61,2869.32,2844.27,2869.32,36749384
2011-05-11,2868.9,2875.85,2844.43,2857.03,47379167
2011-05-12,2835.8,2839.25,2810.12,2829.83,53213430
2011-05-13,2836.67,2844.27,2821.89,2822.57,19253492
2011-05-16,2815.22,2848.09,2810.9,2845.94,22995619
2011-05-17,2840.75,2844.42,2805.67,2805.67,28471466
2011-05-18,2825.78,2840.78,2823.7,2824.23,31451655
2011-05-19,2826.64,2861.97,2821.46,2821.46,36443694
2011-05-20,2837.34,2854.57,2829.43,2829.43,16139459
2011-05-23,2800.66,2816.7,2785.13,2816.7,21348440
2011-05-24,2812.75,2824.01,2805.32,2824.01,20890196
2011-05-25,2808.66,2853.7,2804.71,2853.7,20681981
2011-05-26,2857.25,2870.8,2846.79,2855.9,29431230
2011-05-27,2863.94,2881.22,2860.8,2866.63,24684229
2011-05-30,2875.6,2878.88,2865.93,2871.26,12665351
2011-05-31,2887.68,2914.64,2886.35,2903.61,38441640
2011-06-01,2915.42,2916.64,2889.91,2901.61,22779263
2011-06-02,2882.05,2909.67,2880.69,2896.05,24590491
2011-06-03,2901.74,2901.74,2866.91,2883.82,22936433
2011-06-06,2883.5,2889.6,2868.98,2868.98,14962590
2011-06-07,2881.3,2903.3,2879.36,2895.87,24071066
2011-06-08,2885.31,2891.16,2872.82,2884.17,33465299
2011-06-09,2856.36,2881.98,2852.15,2871.69,37294542
2011-06-10,2872.86,2874.23,2847.86,2852.16,15990686
2011-06-13,2852.82,2865.71,2850.85,2858.49,14467747
2011-06-14,2863.91,2879.07,2863.91,2879.07,22791734
2011-06-15,2872.16,2875.36,2857.55,2866.62,40563739
2011-06-16,2853.1,2868.56,2850.55,2863.81,32631483
2011-06-17,2864.68,2882.25,2859.14,2880.13,51929019
2011-06-20,2851.4,2859.11,2828.12,2828.12,15122555
2011-06-21,2847.33,2852.2,2821.18,2837.19,20595210
2011-06-22,2834.77,2835.31,2807.74,2807.74,25830065
2011-06-24,2809.21,2824.18,2790.64,2801.59,26237878
2011-06-27,2792.76,2797.45,2755.35,2788.18,15405589
2011-06-28,2778.74,2790.23,2764.96,2782.83,18310805
2011-06-29,2798.39,2816.22,2796.61,2812.05,19808978
2011-06-30,2817.82,2830.23,2792.58,2802.01,27010229
2011-07-01,2803.19,2813.35,2792.18,2813.35,24439130
2011-07-04,2825.82,2829.1,2804.15,2804.15,12395843
2011-07-05,2816.42,2823.72,2807.83,2813.58,18034303
2011-07-06,2815.07,2816.96,2788.34,2792.37,16899608
2011-07-07,2777.69,2820.08,2771.79,2820.08,23714643
2011-07-08,2820.52,2822.18,2780.43,2793.62,24072222
2011-07-11,2782.77,2787.06,2743.44,2743.44,20865647
2011-07-12,2717.56,2747.75,2699.35,2734.8,25850141
2011-07-13,2742.58,2765.55,2739.4,2762.63,19661554
2011-07-14,2750.39,2755.33,2732.07,2742.32,11766291
2011-07-15,2739.18,2747.6,2724.41,2747.6,18687146
2011-07-18,2722.52,2726.42,2675.15,2675.67,17282940
2011-07-19,2686.8,2701.91,2680.72,2680.72,22146825
2011-07-20,2707.43,2711.92,2691.22,2693.17,16063735
2011-07-21,2702.91,2732.89,2662.09,2729.46,30531215
2011-07-22,2736.51,2743.46,2717.07,2743.46,17194221
2011-07-25,2722.54,2735.13,2715.62,2734.4,15730944
2011-07-26,2737.72,2738.99,2706.89,2720.54,8895840
2011-07-27,2716.63,2716.63,2678.32,2689.21,12564372
2011-07-28,2667.83,2720.73,2667.83,2720.73,18926717
2011-07-29,2697.87,2726.31,2681.64,2726.31,25130725
2011-08-01,2744.18,2751.14,2702.23,2702.23,15354273
2011-08-02,2695.17,2698.85,2654.93,2665.98,21558599
2011-08-03,2632.52,2649.19,2550.92,2579.15,26602096
2011-08-04,2586.89,2590.4,2460.59,2487.66,32449108
2011-08-05,2369.86,2498.03,2369.86,2447.21,39353177
2011-08-08,2410.38,2480.15,2356.81,2390.01,46468084
2011-08-09,2427.78,2433.68,2269.61,2313.48,57769689
2011-08-10,2351.69,2366.63,2136.2,2194.07,50100922
2011-08-11,2216.24,2293.38,2115.38,2293.38,59568879
2011-08-12,2287.18,2349.07,2256.11,2331.53,36744590
2011-08-16,2342.31,2387.49,2303.52,2387.49,27227933
2011-08-17,2354.77,2407.2,2351.13,2387.3,32174780
2011-08-18,2353.84,2361.64,2177.03,2248.51,45805492
2011-08-19,2206.02,2306.96,2164.32,2252.4,21574516
2011-08-22,2244.84,2305.8,2243.77,2304.59,17716963
2011-08-23,2294.25,2334.25,2270.26,2299.06,26561482
2011-08-24,2305.2,2332.76,2262.3,2301.67,14120820
2011-08-25,2331.19,2334.8,2274.21,2314.33,26230918
2011-08-26,2302.48,2320.5,2270.41,2313.3,14552429
2011-08-29,2313.3,2358.53,2299.27,2352.41,12381317
2011-08-30,2366.29,2391.15,2358.27,2391.15,28561418
2011-08-31,2399.03,2452.41,2395.69,2450.95,56330695
2011-09-01,2430.58,2433.4,2379.06,2414.64,26563560
2011-09-02,2393.17,2398.62,2329.9,2359.75,25458683
2011-09-05,2304.96,2323.51,2272.41,2276.52,20854136
2011-09-06,2286.06,2322.98,2260.39,2290.08,21272860
2011-09-07,2325.35,2369.75,2317.7,2369.75,30942611
2011-09-08,2369.02,2391.07,2336.86,2365.94,21071441
2011-09-09,2351.93,2356.46,2248.74,2248.74,29170318
2011-09-12,2198.89,2202.46,2153.73,2181.88,25595435
2011-09-13,2211.88,2226.9,2154.7,2195.89,23075371
2011-09-14,2173.53,2233.75,2173.53,2210.18,20201628
2011-09-15,2218.56,2320.14,2213.56,2283.99,23070926
2011-09-16,2300.72,2313.59,2287.89,2298.52,48997137
2011-09-19,2253.43,2266.66,2218.66,2263.72,26127232
2011-09-20,2237.56,2310.4,2230.47,2284.94,24213386
2011-09-21,2301.52,2314.17,2275.78,2288.85,39077218
2011-09-22,2226.05,2235.35,2122.55,2122.55,37353620
2011-09-23,2116.03,2118.83,2018.99,2101.23,37186407
